,id,timestamp,permalink,media_url,like_count,saved,reach,impressions,engagement,caption
10,18279319102141506,2023-04-22T09:30:00+0000,https://www.instagram.com/p/CrVV237LJ_f/,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/342379150_1278994292997193_232734223162328464_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=dOcRX7v9kJ0AX9ZdcOp&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDWQhZXL58tNDbncdJFvDBuS5A-gl_tP4Zwid4_K9PqOg&oe=645C154B,65,0,231,257,65,"---
------
◽︎Jacket : #unitedarrows 
◽︎Shirts : #kamakurashirts 
◽︎Tie : #onlypremio 
◽︎Watch : #rolex #rolexexplorer2
------

#mensfashion #mensstyle #menswear #mensfashionpost #styling #ootd #ootdmens
#mensclothing #menslook #fashionstyle #ファッションスナップ #ファッションポスト #メンズスナップ #ビジネスコーデ #オフィスコーデ 
#スーツスタイル #メンズスーツ
#ドレスコーデ #メンズドレス
#スーツコーデ #ドレスファッション"
11,18019371583557456,2023-04-18T09:35:00+0000,https://www.instagram.com/p/CrLDPBvrxMY/,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/330231969_265853779118007_1858818212071415880_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=oYdnZizEZtUAX9ogouZ&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAIs88m1oonddlCHWFDdOyQSZftv1_reoFyYqhsW19VrQ&oe=645CE641,64,2,299,307,67,"---
------
◽︎Jacket : #unitedarrows 
◽︎Shirts : #thomasmason 
◽︎Tie : #christiandior #dior 
◽︎Watch : #rolex #rolexexplorer1 
------

#mensfashion #mensstyle #menswear #mensfashionpost #styling #ootd #ootdmens
#mensclothing #menslook #fashionstyle #ファッションスナップ #ファッションポスト #メンズスナップ #ビジネスコーデ #オフィスコーデ 
#スーツスタイル #メンズスーツ
#ドレスコーデ #メンズドレス
#スーツコーデ #ドレスファッション"
12,18353153011002553,2023-04-17T09:30:00+0000,https://www.instagram.com/p/CrId8DtLh5Z/,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/341582041_1168833527132751_4548875128656162959_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=R89tZtarQa4AX-AQ9N7&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBEZS-2jSyuUFm80z_wXPNEt-KX9UDFuCqStd1gPDDSHQ&oe=645BE795,69,1,257,278,70,"---
------
◽︎Jacket : #unitedarrows 
◽︎Shirts : #kamakurashirts 
◽︎Tie : #gierremilano 
◽︎Watch : #rolex #rolexexplorer1 
------

#mensfashion #mensstyle #menswear #mensfashionpost #styling #ootd #ootdmens
#mensclothing #menslook #fashionstyle #ファッションスナップ #ファッションポスト #メンズスナップ #ビジネスコーデ #オフィスコーデ 
#スーツスタイル #メンズスーツ
#ドレスコーデ #メンズドレス
#スーツコーデ #ドレスファッション"
13,18014296663524513,2023-04-16T09:30:00+0000,https://www.instagram.com/p/CrF5JY7LHGx/,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/341180227_143992475099869_8997080360350400064_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=EGAIhiYc184AX_V5lWT&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAbLZctSwHDkgvoX1PSu_zFMyIxMla0roQsa93PJ0Dqeg&oe=645C976D,84,1,348,372,85,"---
たまにカジュアルも載せていこうと思います。
------
◽︎Shirts : #tomorrowland 
◽︎Bottom : #uniqlou
◽︎Watch : #rolex #rolexexplorer2 
◽︎Shoese : #nike
------
#mensfashion #mensstyle #menswear #mensfashionpost #styling #fashion #fashionista #ootd #ootdmens
#mensclothing #menslook #fashionstyle #ファッションスナップ #ファッションポスト #メンズスナップ #カジュアルコーデ
#メンズカジュアル #dayoffwellspent 
#休日コーデ"
14,18205896910223852,2023-04-15T08:56:20+0000,https://www.instagram.com/p/CrDQYxYL-Yi/,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/341128956_216571207647969_2191533279152223752_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=NRf6V55qc4IAX_m5E0B&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAkyjsYv7OyrQqtNuNm4O8GV20s2b8ydP0IpED19DabbA&oe=645BEC8F,99,1,312,329,101,"---
------
◽︎Jacket : #lardini 
◽︎Shirts : #kamakurashirts 
◽︎Tie : #gierremilano 
◽︎Watch : #rolex #rolexexplorer1 
------

#mensfashion #mensstyle #menswear #mensfashionpost #styling #ootd #ootdmens
#mensclothing #menslook #fashionstyle #ファッションスナップ #ファッションポスト #メンズスナップ #ビジネスコーデ #オフィスコーデ 
#スーツスタイル #メンズスーツ
#ドレスコーデ #メンズドレス
#スーツコーデ #ドレスファッション"
15,18011869342598176,2023-04-14T12:04:52+0000,https://www.instagram.com/p/CrBBKxtLIyl/,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/341175549_1588657574873272_5707141001489320108_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=x60VyxS_3ZoAX8p7jnv&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCkBUpT_1_tGcozwxpfexRKmQGNVlL_h61-JzgAG_DQSg&oe=645BAF46,96,1,485,536,98,"---
------
<CONVERSE ADDICT> 
""CHUKC TAYLOR CANVAS OX""

久々にスニーカーを新調しました。converseの中でもADDICTシリーズは特に履きこごちが良く好きです。今回の新作はみんな大好きchuck taylorのモデル。色はド定番のナチュラルにしました。本当は黒のレザー地のやつが欲しかったんですがオンラインや近くの店舗ではもう売り切れでした。
------
#converse #converseaddict 
#chucktaylor #sneakers 
#スニーカー#コンバース
#チャックテイラー 
#スニーカー好きな人と繋がりたい"
16,17887368377761122,2023-04-13T09:28:05+0000,https://www.instagram.com/p/Cq-Kbl3L56f/,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/340693708_799439177710534_617476798651479358_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Mk2aANXtXuEAX8N1fYl&_nc_oc=AQlGyxlaFWwA3nDn16fyjI7v5o9bUkLj5_9R7RznQNMvVGVoM6KCpM9PjLX8bFRktHU&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfB2xf8pWIk04tsm-on1qpZ34O69jy_AWr2eqn8JABDG9w&oe=645CF819,94,0,285,312,94,"---
------
◽︎Suits : #beamsf 
◽︎Shirts : #kamakurashirts 
◽︎Tie : #kuska
◽︎Watch : #rolex #rolexexplorer1 
------

#mensfashion #mensstyle #menswear #mensfashionpost #styling #ootd #ootdmens
#mensclothing #menslook #fashionstyle #ファッションスナップ #ファッションポスト #メンズスナップ #ビジネスコーデ #オフィスコーデ 
#スーツスタイル #メンズスーツ
#ドレスコーデ #メンズドレス
#スーツコーデ #ドレスファッション"
17,17992388116742032,2023-04-12T09:44:56+0000,https://www.instagram.com/p/Cq7nkIoLSSG/,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/340722022_167871969150818_2128951850758887173_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=CQr23V2i1jMAX9NoFfO&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAiZocaJ10VnV8h7tYas7sWyhwM6G7no6LMwAnGSu0OEw&oe=645BD460,84,0,272,299,84,"---
------
◽︎Jacket : #lardini 
◽︎Shirts : #kamakurashirts 
◽︎Tie : #tieyourtie 
◽︎Watch : #rolex #rolexexplorer1 
------

#mensfashion #mensstyle #menswear #mensfashionpost #styling #ootd #ootdmens
#mensclothing #menslook #fashionstyle #ファッションスナップ #ファッションポスト #メンズスナップ #ビジネスコーデ #オフィスコーデ 
#スーツスタイル #メンズスーツ
#ドレスコーデ #メンズドレス
#スーツコーデ #ドレスファッション"
18,17950803929578029,2023-04-11T09:30:51+0000,https://www.instagram.com/p/Cq5BKEoLXt9/,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/340793638_1271325187072129_1319563380377418718_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=_8QxOKNcq4wAX9YkDn6&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfA8zYI61iMexaR-xJA9NItkXbydha7TP9JGBndP_KPQwA&oe=645CEF16,107,0,319,347,107,"---
------
#beamsf
#kamakurashirts 
#hermes 
#rolex #rolexexplorer1 
------

#mensfashion #mensstyle #menswear #mensfashionpost #styling #ootd #ootdmens
#mensclothing #menslook #fashionstyle #ファッションスナップ #ファッションポスト #メンズスナップ #ビジネスコーデ #オフィスコーデ 
#スーツスタイル #メンズスーツ
#ドレスコーデ #メンズドレス
#スーツコーデ #ドレスファッション"
19,18357695602043545,2023-04-10T09:21:00+0000,https://www.instagram.com/p/Cq2bPDnrabS/,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/340461494_6244707382256264_3628663563996899915_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=IMuj72U17AcAX815IVc&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAYrhgyvXsXk6zlUuW35mVLz8YpcycBKHfVhQFsc2nZdg&oe=645BFEC3,97,0,349,378,99,"---
------
#rolex #rolexexplorer2 
#ロレックス #エクツー 
------

#mensfashion #mensstyle #menswear #mensfashionpost #styling #ootd #ootdmens
#mensclothing #menslook #fashionstyle #ファッションスナップ #ファッションポスト #メンズスナップ #ビジネスコーデ #オフィスコーデ 
#スーツスタイル #メンズスーツ
#ドレスコーデ #メンズドレス
#スーツコーデ #ドレスファッション
#時計好き #時計好きな人と繋がりたい"
