,endtime,follower_count,profile_views,impressions,reach
0,2023-05-03T07:00:00+0000,0,29,332,231
1,2023-05-02T07:00:00+0000,0,34,378,264
2,2023-05-01T07:00:00+0000,5,33,407,209
3,2023-04-30T07:00:00+0000,2,49,221,81
4,2023-04-29T07:00:00+0000,4,17,133,51
5,2023-04-28T07:00:00+0000,2,14,201,123
6,2023-04-27T07:00:00+0000,2,21,308,209
7,2023-04-26T07:00:00+0000,4,28,352,201
8,2023-04-25T07:00:00+0000,1,34,333,221
9,2023-04-24T07:00:00+0000,4,97,553,269
10,2023-04-23T07:00:00+0000,6,48,377,216
11,2023-04-22T07:00:00+0000,1,23,209,152
12,2023-04-21T07:00:00+0000,1,11,74,27
13,2023-04-20T07:00:00+0000,3,15,114,69
14,2023-04-19T07:00:00+0000,4,24,182,87
15,2023-04-18T07:00:00+0000,5,35,328,210
16,2023-04-17T07:00:00+0000,11,66,421,236
17,2023-04-16T07:00:00+0000,7,83,533,340
18,2023-04-15T07:00:00+0000,12,95,622,301
19,2023-04-14T07:00:00+0000,13,131,608,295
20,2023-04-13T07:00:00+0000,9,63,502,208
21,2023-04-12T07:00:00+0000,6,64,376,209
22,2023-04-11T07:00:00+0000,6,131,788,284
23,2023-04-10T07:00:00+0000,11,120,656,281
24,2023-04-09T07:00:00+0000,3,42,453,261
25,2023-04-08T07:00:00+0000,4,41,456,265
26,2023-04-07T07:00:00+0000,0,43,403,196
27,2023-04-06T07:00:00+0000,2,14,75,46
28,2023-04-05T07:00:00+0000,4,19,96,66
29,2023-04-04T07:00:00+0000,2,15,287,211
